Riddle,Solution
"What number becomes zero when you subtract 15 from half of it?",30
"If you double a number and then add 10, you get 50. What is the number?",20
"What number when multiplied by 3 gives 27?",9
"I am a number. If you subtract 7 from me, you get 13. What number am I?",20
"What number when added to 20 equals 50?",30
"What number is 5 more than twice 7?",19
"I am a number that when you subtract 4 from me, the result is 10. What number am I?",14
"What number is 15 less than 50?",35
"What is the sum of 25 and 15?",40
"What is the product of 6 and 7?",42
"If you divide a number by 4, you get 8. What is the number?",32
"I have a number. If I add 12 to it, I get 30. What is the number?",18
"What is the square of 5?",25
"What is 10 more than 15?",25
"If you triple a number, you get 21. What is the number?",7
"What number do you get when you subtract 9 from 40?",31
"What is the difference between 100 and 45?",55
"If you multiply a number by 5 and then subtract 5, you get 20. What is the number?",5
"What number when doubled equals 50?",25
"What is the sum of 8, 12, and 10?",30
"If you subtract 3 from a number, you get 12. What is the number?",15
"What is half of 64?",32
"If you add 6 to a number, you get 14. What is the number?",8
"What number times 4 equals 32?",8
"I have a number, and if I subtract 10, I get 40. What number is it?",50
"What is the cube of 3?",27
"What is 7 more than 14?",21
"What is the product of 9 and 6?",54
"I am a number. When you subtract 2 and then multiply by 3, you get 30. What number am I?",12
"What number is one-third of 90?",30
